               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076863,            0.026409,            0.011683,             0.76523,             0.29092,             0.25142,             0.12421,            0.048016,            0.013016,           0.0023883,            0.070087,           0.0033237,           0.0033237
                   1,            0.055313,            0.022174,           0.0039079,             0.86018,              0.3126,             0.34315,             0.17823,            0.042637,            0.012975,           0.0023793,            0.040021,           0.0065911,           0.0065911
                   2,             0.05256,            0.022769,           0.0039641,             0.82462,             0.27823,              0.2918,             0.14846,            0.042723,             0.01402,           0.0019002,           0.0098889,           0.0097926,           0.0097926
                   3,            0.050786,            0.023476,           0.0032741,             0.88808,             0.32017,             0.36505,             0.21448,            0.039168,            0.012541,           0.0015495,            0.009703,            0.009703,            0.009703
                   4,            0.048277,            0.022595,           0.0030324,             0.90087,             0.32678,             0.38574,              0.2304,            0.037083,            0.012977,           0.0015479,            0.009703,            0.009703,            0.009703
                   5,            0.046455,            0.022009,           0.0029445,             0.40244,              0.3662,              0.3664,             0.21759,            0.038869,            0.013529,           0.0021046,            0.009604,            0.009604,            0.009604
                   6,            0.044945,            0.021628,           0.0026829,             0.41966,             0.42001,             0.40385,             0.26097,            0.034313,            0.011849,           0.0012043,            0.009505,            0.009505,            0.009505
                   7,            0.043805,            0.021937,           0.0025857,              0.5901,             0.43822,             0.43937,             0.27456,            0.035138,            0.012131,           0.0017938,            0.009406,            0.009406,            0.009406
                   8,             0.04295,            0.021867,           0.0022287,              0.6594,             0.49304,              0.5114,             0.32138,            0.034742,            0.012499,          0.00099603,            0.009307,            0.009307,            0.009307
                   9,            0.042475,            0.021387,            0.002154,             0.58188,             0.46886,             0.50893,             0.30892,            0.033431,            0.011927,           0.0011355,            0.009208,            0.009208,            0.009208
                  10,            0.043242,            0.021673,           0.0020581,             0.54465,             0.61993,             0.52806,             0.31628,            0.032825,            0.011453,           0.0013071,            0.009109,            0.009109,            0.009109
                  11,            0.041769,            0.021326,           0.0022146,             0.72024,             0.45192,             0.51957,             0.31737,             0.03404,            0.012817,           0.0012424,             0.00901,             0.00901,             0.00901
                  12,              0.0421,            0.021554,           0.0021426,             0.88504,             0.48785,             0.55718,             0.36105,            0.031939,            0.012153,            0.001161,            0.008911,            0.008911,            0.008911
                  13,            0.040614,            0.020727,           0.0018178,             0.85668,             0.49202,              0.5865,             0.40281,            0.031956,            0.011377,           0.0008526,            0.008812,            0.008812,            0.008812
                  14,            0.040249,            0.020503,           0.0017592,             0.80115,             0.49582,             0.59829,             0.39379,            0.033047,            0.011527,          0.00091125,            0.008713,            0.008713,            0.008713
                  15,            0.039875,            0.020077,           0.0017577,             0.82525,             0.43039,               0.573,             0.36794,            0.031797,            0.011242,          0.00089854,            0.008614,            0.008614,            0.008614
                  16,            0.040367,            0.020892,            0.001992,             0.71422,             0.45858,             0.56368,             0.37332,            0.031395,            0.011448,           0.0012236,            0.008515,            0.008515,            0.008515
                  17,            0.040524,            0.020727,            0.001492,             0.85693,             0.48795,             0.57796,             0.38617,             0.03082,            0.011624,          0.00083769,            0.008416,            0.008416,            0.008416
                  18,            0.038825,            0.020205,            0.001813,             0.78045,             0.46727,             0.52239,             0.34897,            0.031388,            0.011361,          0.00085172,            0.008317,            0.008317,            0.008317
                  19,            0.039328,            0.020169,           0.0016381,             0.68601,             0.47948,             0.53966,             0.35224,            0.031791,            0.011331,           0.0014043,            0.008218,            0.008218,            0.008218
                  20,            0.038806,            0.020228,           0.0016759,             0.91319,              0.5376,             0.60826,             0.43311,            0.031078,             0.01134,          0.00094819,            0.008119,            0.008119,            0.008119
                  21,            0.038257,            0.019974,           0.0016623,             0.91341,             0.51023,             0.61167,             0.41287,            0.030576,            0.011559,           0.0008528,             0.00802,             0.00802,             0.00802
